"PLATE","SPLIT PLATE","STATE","TYPE","VEH ID","REG DATE","EXP DATE","ISSUED TO","JUDGMENT SUMMONSES"
"F97MNC"," ","NJ","PAS","         ","02/08/23","99/99/99","Y                   AUTO CHLO R SYSTEM N","                  "
"M82LWC"," ","NJ","PAS","         ","09/23/22","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"N70EGH"," ","NJ","PAS","         ","06/09/14","99/99/99","                                        ","                  "
"XADA27"," ","NJ","PAS","         ","09/21/12","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XAGM45"," ","NJ","PAS","         ","02/22/13","99/99/99","Y                   AUTO CHLO R SYSTEM N","                  "
"XCLN80"," ","NJ","PAS","   BASSEL","01/06/15","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XCPP44"," ","NJ","PAS"," SERVICE","03/05/15","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XDHB14"," ","NJ","PAS","         ","03/22/16","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XDTL23"," ","NJ","PAS","     MINA","01/20/16","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XESY16"," ","NJ","PAS","   238725","12/21/16","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XFEE58"," ","NJ","PAS","         ","10/23/17","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XFVS30"," ","NJ","PAS","         ","11/15/17","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XFVS31"," ","NJ","PAS","         ","10/23/17","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XGDN93"," ","NJ","PAS","         ","07/25/18","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XHFZ62"," ","NJ","PAS","         ","11/14/18","99/99/99","Y                   AUTO CHLO R SYSTEM N","                  "
"XHKT30"," ","NJ","PAS","         ","09/15/22","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XHUL72"," ","NJ","PAS","         ","09/15/22","99/99/99","                    AUTO CHLOR SYSTEM NY","F"
"XHUL73"," ","NJ","PAS","         ","09/15/22","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XHYD86"," ","NJ","PAS","         ","10/25/19","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XKFD28"," ","NJ","PAS","         ","09/15/22","99/99/99","                    AUTO CHLOR SYSTEM NY","F"
"XKFD29"," ","NJ","PAS","         ","09/15/22","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XKFD30"," ","NJ","PAS","         ","09/15/22","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XK583Y"," ","NJ","PAS","CHRIS","11/06/08","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XMYX11"," ","NJ","PAS","         ","12/02/22","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XNFK96"," ","NJ","PAS","         ","04/10/23","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XNFL32"," ","NJ","PAS","         ","04/10/23","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XNFL33"," ","NJ","PAS","         ","04/11/23","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XN433A"," ","NJ","PAS","HERBERT","08/14/09","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XR223C"," ","NJ","PAS","PHAROAH","11/06/08","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
"XR929F"," ","NJ","PAS","RAUL","08/14/09","99/99/99","                    AUTO CHLOR SYSTEM NY","                  "
